# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	1	0	0	0	0
2020-02-29	1	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	1	0	0	1	0
2020-03-06	6	1	0	1	0
2020-03-07	11	1	0	0	0
2020-03-08	13	2	0	0	0
2020-03-09	13	2	0	1	0
2020-03-10	38	3	0	3	0
2020-03-11	45	4	0	3	0
2020-03-12	64	6	0	3	0
2020-03-13	80	7	0	3	0
2020-03-14	80	7	0	0	0
2020-03-15	147	7	0	0	0
2020-03-16	174	11	0	7	0
2020-03-17	207	12	0	9	0
2020-03-18	226	13	0	9	0
2020-03-19	281	15	0	14	0
2020-03-20	360	17	0	28	0
2020-03-21	424	22	0	33	0
